MODEL YEAR,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL TYPE,FUEL CONSUMPTION CITY,FUEL CONSUMPTION HWY,FUEL CONSUMPTION COMB,FUEL CONSUMPTION COMB,CO2 EMISSIONS,CO2 RATING,SMOG RATING
2019,CHEVROLET,CAMARO,SUBCOMPACT,3.6,6,AS8,X,12.3,8.2,10.4,27,246,5,5
2019,CHEVROLET,CAMARO,SUBCOMPACT,3.6,6,M6,X,14.3,8.8,11.8,24,277,4,5
2019,CHEVROLET,CAMARO SS,SUBCOMPACT,6.2,8,AS10,Z,14.5,8.8,12,24,279,4,1
2019,CHEVROLET,CAMARO SS,SUBCOMPACT,6.2,8,M6,Z,14.9,9.9,12.6,22,297,3,1
2019,CHEVROLET,CAMARO ZL1,SUBCOMPACT,6.2,8,AS10,Z,18.3,11.2,15.1,19,355,2,1
2019,CHEVROLET,CAMARO ZL1,SUBCOMPACT,6.2,8,M6,Z,17.2,12,14.9,19,349,2,1
2019,CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.5,4,A6,X,12.1,9.2,10.8,26,253,4,5
2019,CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.5,4,M6,X,11.9,9.2,10.7,26,251,4,5
2019,CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.8,4,A6,D,11.8,7.9,10.1,28,270,4,3
2019,CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,3.6,6,A8,X,13.4,9.6,11.7,24,274,4,5
2019,CHEVROLET,COLORADO 4WD,PICKUP TRUCK - SMALL,2.5,4,A6,X,12.7,9.8,11.4,25,267,4,5
2019,CHEVROLET,COLORADO 4WD,PICKUP TRUCK - SMALL,2.8,4,A6,D,12.2,8.4,10.5,27,283,4,3
2019,CHEVROLET,COLORADO 4WD,PICKUP TRUCK - SMALL,3.6,6,A8,X,14,9.9,12.2,23,286,3,5
2019,CHEVROLET,COLORADO ZR2 4WD,PICKUP TRUCK - SMALL,2.8,4,A6,D,13.3,10.6,12.1,23,326,3,3
2019,CHEVROLET,COLORADO ZR2 4WD,PICKUP TRUCK - SMALL,3.6,6,A8,X,15,13,14.1,20,331,3,5
2019,CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,AS8,Z,15.6,9.2,12.7,22,299,3,1
2019,CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,M7,Z,14.6,9.3,12.2,23,286,3,1
2019,CHEVROLET,CORVETTE Z06,TWO-SEATER,6.2,8,AS8,Z,17.2,10.1,14,20,331,3,1
2019,CHEVROLET,CORVETTE Z06,TWO-SEATER,6.2,8,M7,Z,15.9,10.6,13.5,21,318,3,1
